Author,Publisher,Title,Main_Price,Wafilife_Price
EL Publications পরিষদ,Not Listed,পৌরনীতি ও সুশাসন ২য় পত্র,0,৩৩০৳
EL Publications পরিষদ,Not Listed,পৌরনীতি ১ম পত্র ১১ দিন এইচএসসি ২০২৬ ও ২০২৭,0,৩৩০৳
ইরফান শেখ,Not Listed,জুলাই জাতীয় সনদ ২০২৫: ভবিষ্যতের পথরেখা,৩৬০৳,৩০৯৳
ইরফান শেখ,Not Listed,জুলাই গণঅভ্যুত্থান পরবর্তী অন্তর্বর্তী সরকারের অন্দরমহল,৬০০৳,৫৫০৳
ইরফান শেখ,Not Listed,কৃপার শাস্ত্রের অর্থভেদ,৭৫০৳,৬৪৫৳
ড. ডেভ স্লগেট,Not Listed,ড্রোন ওয়ারফেয়ার ,৪৪০৳,৩৩০৳
তিশা রানী ঘোষ,Not Listed,বাংলার প্রকৃতি,0,১০০৳
AAOIFI,Not Listed,কোড অফ ইথিকস কর্মক্ষেত্রে নীতি ও নৈতিকতা,২০০৳,১৬০৳
Anwar Dil,Not Listed,Rabindranath Tagore and Victoria Ocampo (The Creative Touch),৮০০৳,৬৬৪৳
Charles Dickens,Not Listed,A Tale Of Two Cities,"১,৩০০৳","১,১১৩৳"
Charles Dickens,Not Listed,Oliver Twist,"১,৪০০৳","১,১৬২৳"
Dai Jianbing,Not Listed,The Ten Capabilities of the Communist Party of China,৯৫০৳,৭১৩৳
Dr. Abul Hossain,Not Listed,Hidden Economy of Bangladesh and Its Policy Implications,৩২০৳,২১৮৳
Dr. Himel Borkot,Not Listed,Next Fifty Collective features,"২,৫০০৳","২,১২৫৳"
Dr. Md. Golzare Nabi,Not Listed,Measuring Performance of Islamic Banks in Bangladesh,"১,০০০৳",৬৫০৳
Dr. Muhammad Moniuzzaman,Not Listed,Medi English (For Medical And Admission Test),৮২৫৳,৫৬০৳
Dr. Muhammad Moniuzzaman,Not Listed,Zamindars Of Bangla : Case Study of Selected Rangpur Zamindars 1793-1950,৬০০৳,৪৯৮৳
Edgar Rice Burroughs,Not Listed,Tarzan,৬০০৳,৪৫০৳
Enamul Haque (Technology matters),Not Listed,A Beginner's Guide To Data Science,৭০০৳,৪৯০৳
Ernest Hemingway,Not Listed,The Old Man and the Sea,১৭০৳,১৪১৳
Fadlur R Kalim Kashmiri,Not Listed,The Many Shades of Shirk,0,৩২০৳
Georgian Folk-Take,Not Listed,ফড়িং আর পিঁপড়ে,৬০৳,৫২৳
Jonathan Swift,Not Listed,Gulliver’s Travels,৫৯০৳,৫০৭৳
Jules Verne,Not Listed,Around The World In 80 Days,৪৫০৳,৩৮৭৳
Julfikar Newton,Not Listed,Bangabandhu Poet of Politics,৪৫০৳,৩০৬৳
K. A. Islam,Not Listed,জবে ভুল-ভ্রান্তির শিক্ষণীয় ঘটনা: টেকসই HRD,0,৩০০৳
Kazi Nurul Haque,Not Listed,Thoughts on Insurance : Bangladesh Perspective,৪৫০৳,৩৭৪৳
Khalid Baig,Not Listed,Slippery Stone,৮০০৳,৬০০৳
Larisa Jasarevic,Not Listed,Children of Salik Treasure Hunt,৭৯৯৳,৫৯৯৳
Lewis Caroll,Not Listed,Alice’s Adventures in Wonderland,২০০৳,১৭২৳
Lois Lowry,Not Listed,The Giver,৫০০৳,৪৩০৳
Lt Col (Retd) A KM Maksudul Haque PhD,Not Listed,Terrorism and Jihad,৫০০৳,৪৩০৳
M Zohurul Islam FCA,Not Listed,Principles of Accounting,৩০০৳,২৪০৳
M. Gias Uddin Chy,Not Listed,Kids English Word Book,২৫০৳,১৪৫৳
M. Harunur Rashid,Not Listed,English for Bangali Learners,৩০০৳,২৪৯৳
M. Hassanullah,Not Listed,Managing Extension Services,৪০০৳,৩৪০৳
M. Hassanullah,Not Listed,Performance of Agricultural Extension organizations of Bangladesh,৪০০৳,৩৪০৳
M. Mirjahan,Not Listed,Community Partnership For Sustainable Water Management (volume 3),২৮০৳,২৩৮৳
M. Mufakharul Islam,Not Listed,An Economic History of Bengal 1757-1947,৭৯০৳,৬৫৬৳
M. N. Pearson,Not Listed,Pious Passengers: The Hajj in Earlier Times,৩০৫৳,২৫৯৳
M. Shamsher Ali,Not Listed,Making Math Fun,২৫০৳,২০৮৳
M. Shamsher Ali,Not Listed,Islam Science And Culture,৫০০৳,৩৬৫৳
M. U. Kazi,Not Listed,Self-Evident Miracles of the Holy Qur'an,0,৩৪৫৳
M. Youssouf Ali,Not Listed,"Fish, Water and People Reflections on Inland Openwater Fisheries Resources of Bangladesh",৩০০৳,২৫৫৳
M. Zahidul Islam,Not Listed,Dictionary of Idioms and Phrases,৩০০৳,২৪০৳
M.A.K. Saqib,Not Listed,A Guide to the Celebration of 'Eed,0,১১৫৳
MD. Ruhul Amin Sarkar,Not Listed,Rural Financing and Agricultural Credit in Bangladesh: Future Development Strategies for Formal Sector Banks,৫৫০৳,৪৬৮৳
Mahbub Hasan Lingcon,Not Listed,Akkharpatra Chemistry First Paper (Class 11-12) - English Version,0,৮০০৳
Mahbub Hasan Lingcon,Not Listed,Akkharpatra Chemistry Second Paper (Class 11-12) - English Version,0,৮০০৳
Mahbub Hossain,Not Listed,Rethingking Rural poverty: Bangladesh as a Case Study,৪০০৳,৩৪০৳
Mahbub ul Haq,Not Listed,Human Development in South Asia 1998 : The Education Challenge,৪৫০৳,৩৮৩৳
Mahbub ul Haq,Not Listed,Human Development in South Asia 2003,৬৫০৳,৫৫৩৳
Mahbub ul Haq,Not Listed,Human Development in South Asia 1998,৪৫০৳,৩৮৩৳
Mahbubur Rahman,Not Listed,Dhaka An Urban Reader,"১,২৮০৳","১,০৮৮৳"
Mahendra P Lama,Not Listed,"Human Security in India Discourse, Practices and Policy implications",৬০০৳,৫১০৳
Mahfuz Ullah,Not Listed,ULFA,৭৫০৳,৬২৩৳
Mahfuz Ullah,Not Listed,Begum Khaleda Zia,"২,০০০৳","১,৮২০৳"
Mahfuzur Rahman,Not Listed,The Amnesiacs,৩০০৳,২৪৯৳
Mahfuzur Rahman,Not Listed,From Naogaon to New York,৯৪৫৳,৭৮৪৳
Mahmood Ahmad Ghadanfar,Not Listed,Commanders of the Muslim Army,"২,২০০৳","২,০৯০৳"
Mahmood Ahmad Ghadanfar,Not Listed,Great Women of Islam,"১,৫৪০৳","১,৪৬৩৳"
Mahmuda Bari,Not Listed,English 2nd Paper (Classes xi-xii and HSC exam 2024),৩২০৳,২৭২৳
Mahmudul Alam,Not Listed,Bangladesh Assessing Basic Learning Skills,২২০৳,১৮৭৳
Mahmudul Alam,Not Listed,A Question of Quality: State of Primary Education in Bangladesh-3,৩০০৳,২৫৫৳
Majdi Muhammad Ash Shahawi,Not Listed,Marital Discord: Causes and Cures,"১,১০০৳","১,০৪৫৳"
Majed S. Al-Rassi,Not Listed,Islam is Your Birthright,৬০০৳,৫৭০৳
Manjula Chaudhary,Not Listed,An Analytical Development of the Exposition of The Kautilya usages,৪০০৳,৩৩২৳
Marianna Pascal,Not Listed,English Fast and Easy,৫০০৳,৪৩০৳
Mark Twain,Not Listed,Adventure of Hackle Bari Feen,৯২০৳,৭৯১.২০৳
Mashhur Hasan Salman,Not Listed,The Concise Presentation of the Fiqh,"২,৪২০৳","২,২৯৯৳"
Masudul Hasan Roni,Not Listed,Professor's Selected Basic Essay,৪৫০৳,২৯৩৳
Matt Yarrington,Not Listed,"Crocodile in the Water, Tiger on the Bank Common Bengali Proverbs",৭০০৳,৫৯৫৳
Maulana Wahiduddin Khan,Not Listed,God Arises,0,"১,০৪৫৳ - ১,২৫৪৳"
Maulana Wahiduddin Khan,Not Listed,Ramadan: The Month of Fasting (Quran Stories For Little Children),0,১২০৳
Maulivi Abdul Aziz,Not Listed,History of Islam - Uthman Ibn Affan,"১,৫৪০৳","১,৪৬৩৳"
Maulivi Abdul Aziz,Not Listed,History of Islam - Muawiyah Ibn Abi Sufyan,"১,৫৪০৳","১,৪৬৩৳"
Maulivi Abdul Aziz,Not Listed,History of Islam - Ali Ibn Abi Taalib,"১,৫৪০৳","১,৪৬৩৳"
